stake_address,payment_address,reward
stake1uxr289y4c83xjtx5ywxtagx8v97cca6hq5psv7dmagvazkgg3r747, addr1qx6ge0wctmaygrzngzwmgjqcmu32vcc948axpfezyw9x89vx5w2fts0zdykdgguvh6svwcta33m4wpgrqeumh6se69vsd6hkru,391
stake1uxef0hvn9wssnsyjs76d7v808hfv8ajgpvm6amkplgsdx0clgu4jw, addr1qx5fn0zywa5ktlyrmrfvttdftu3dprhkmctm7y44tz4e744jjlwex2app8qf9pa5mucw70wjc0myszeh4mhvr73q6vlsuw5flg,389
stake1u9qykz7yf97dryka6u0evqgephtvyms5hzcxkvru34m9czce0q4yn, addr1qyv0nwcuh8ngpceh02psfmamvf7clst48lavyp6nph9myczqfv9ugjtu6xfdm4cljcq3jrwkcfhpfw9sdvc8ertkts9s8u9fxm,383
stake1u8l5nzqjjlj0u5yhc3guz9f4ahfvl525a9rc53pm7d4dfsgsa7a43, addr1q8lu22dt9mgexj3d2jgep994ysvu4hznnkuzpzqt92frg40lfxyp99lylegf03z3cy2ntmwjelg4f6283fzrhum26nqs43u0y9,374
stake1u8wx0ed2thznt9y3z7zy4hsua0z2dsx8lsfheant774cymq2vgfu6, addr1qynnm4td6sy2vz7csw0rjrkunfpzzptsnkcvjr070wm3f8e88h2km4qg5c9a3qu78y8dexjzyyzhp8dseyxlu7ahzj0sdvhc50,369
stake1ux46c5w2rqnsnte60q083cvu3s2crkfhvxzk27acaex63lsnpr7dl, addr1qy98kcrzr054q9p995vv2mh4n4d79evckcyxpq5725urwk9t43gu5xp8pxhn57q70rseerq4s8vnwcv9v4am3mjd4rlq3m098x,368
stake1uyv4x83zs63zqafuj55npv08v9mf0fp2dz9xmjn8pdrzuxqw4sxhn, addr1q9ctjdmzgv6d4gn9e8elf5r2p73f8wv4ddkx68sy2a8umlge2v0z9p4zyp6ne9ffxzc7wctkj7jz56y2dh9xwz6x9cvqcvn6rh,356
stake1u94u5j06vh02rksvvqgck5v6l0s2lgypt3qlcy2zcl6d9wqy9ff28, addr1qxdjndg7q0nr4rcx92sps63kw6tdw6ktxa5anu2va82sqjrtefyl5ew758dqccq33dge47lq47sgzhzplsg593l562uqaaj32h,355
stake1uyut9yydwfgtf0z5vmv0ypyt3n6mdfjk2v252usumt8rtms2yrnwr, addr1q98cdn044a9y72rwu88epu4pm2mpeqyvyswsfn3u33wc7meck2gg6ujskj79gekc7gzghr84k6n9v5c4g4epekkwxhhqz93zt6,354
stake1uxshztgqlsk6md6mwsc0dsmlzasgwendt9dpa7nys9g763gqwtvv8, addr1qy5zaqqlgnquudv4ya99p5ekllgzwswhnh9kqner8e8hglapwyksplpd4km4kaps7mph79mqsanx6k26rmaxfq23a4zst87emg,349
stake1ux707pwq5jve2y57x6evlefxcmsaz68dg6dnysw5z9wl54csw7wzy, addr1qyx7pryd4e7enfzemxsupg6dyn6dda2pyvwmpu30yn0ana4uluzupfyej5ffud4jeljjd3hp695w635mxfqagy2alfts3c2ver,346
stake1u8q7uds07pxzrwuckhzl9eyknvvd6dk8tqcaupha9ma8llgdft5gz, addr1qyxqgthmrrk64x2asa5m76x03e5xlacj8sugvt0yutwjccwpacmqluzvyxae3dw97tjfdxccm5mvwkp3mcr06th60l7sr56hnk,345
stake1uypfaahs2une2f7w2ffpyl84lgnr09av3ec26wlgrant5jcglzz46, addr1qynfpmpmemvca0fp6jhwfq9fr6skwr94zn2a60ez49rdhuqznmm0q4e8j5nuu5jjzf70t73xx7t6erns45a7s8mxhf9sjmsc76,342
stake1u8vnp6w3x26jhnqjp5hfy04pcth0pqtva7r4jeq85dx7xhquywn36, addr1qxzn9t2gmap66nnxqg89zvh7yke7hqnzcl8tf4wax32sc8xexr5azv4490xpyrfwjgl2rshw7zqkemu8t9jq0g6dudwq886t0g,339
stake1uxgrplhkd2zxf8a6hw8g2yacly227l73f5c6ctnkdk6ftxgtrx2fe, addr1q8dzxgn9skuzdrcx4nxkqc4gdhznz75ytjyf368f4flvg5vsxrl0v65yvj0m4wuws5fm37g54alaznf34sh8vmd5jkvsmw8rv4,338
